Accident year,Police force,All accidents
2005,Metropolitan Police,26501
2005,Cumbria,1900
2005,Lancashire,5491
2005,Merseyside,4899
2005,Greater Manchester,9222
2005,Cheshire,3935
2005,Northumbria,4650
2005,Durham,1780
2005,North Yorkshire,2730
2005,West Yorkshire,7277
2005,South Yorkshire,4476
2005,Humberside,2740
2005,Cleveland,1308
2005,West Midlands,9070
2005,Staffordshire,4159
2005,West Mercia,3352
2005,Warwickshire,1980
2005,Derbyshire,3441
2005,Nottinghamshire,3699
2005,Lincolnshire,2572
2005,Leicestershire,3270
2005,Northamptonshire,1838
2005,Cambridgeshire,3384
2005,Norfolk,2653
2005,Suffolk,2237
2005,Bedfordshire,1700
2005,Hertfordshire,3954
2005,Essex,5595
2005,Thames Valley,7149
2005,Hampshire,5782
2005,Surrey,4826
2005,Kent,5519
2005,Sussex,5219
2005,City of London,311
2005,Devon and Cornwall,6083
2005,Avon and Somerset,5356
2005,Gloucestershire,1940
2005,Wiltshire,2023
2005,Dorset,2617
2005,North Wales,1879
2005,Gwent,1227
2005,South Wales,3858
2005,Dyfed-Powys,1751
2005,Police Scotland,13382
2006,Metropolitan Police,24474
2006,Cumbria,1706
2006,Lancashire,5316
2006,Merseyside,4330
2006,Greater Manchester,8428
2006,Cheshire,3690
2006,Northumbria,4400
2006,Durham,1661
2006,North Yorkshire,2612
2006,West Yorkshire,7162
2006,South Yorkshire,4377
2006,Humberside,2782
2006,Cleveland,1265
2006,West Midlands,8501
2006,Staffordshire,4113
2006,West Mercia,3209
2006,Warwickshire,1917
2006,Derbyshire,3222
2006,Nottinghamshire,3730
2006,Lincolnshire,2392
2006,Leicestershire,2988
2006,Northamptonshire,1756
2006,Cambridgeshire,3112
2006,Norfolk,2354
2006,Suffolk,2087
2006,Bedfordshire,1680
2006,Hertfordshire,3647
2006,Essex,5330
2006,Thames Valley,7326
2006,Hampshire,5578
2006,Surrey,4684
2006,Kent,5368
2006,Sussex,5039
2006,City of London,355
2006,Devon and Cornwall,5752
2006,Avon and Somerset,5110
2006,Gloucestershire,1727
2006,Wiltshire,1908
2006,Dorset,2364
2006,North Wales,2070
2006,Gwent,1121
2006,South Wales,3708
2006,Dyfed-Powys,1802
2006,Police Scotland,13008
2007,Metropolitan Police,22924
2007,Cumbria,1744
2007,Lancashire,5247
2007,Merseyside,3831
2007,Greater Manchester,7639
2007,Cheshire,3545
2007,Northumbria,4181
2007,Durham,1550
2007,North Yorkshire,2610
2007,West Yorkshire,6867
2007,South Yorkshire,4245
2007,Humberside,2722
2007,Cleveland,1073
2007,West Midlands,8546
2007,Staffordshire,3956
2007,West Mercia,3335
2007,Warwickshire,1943
2007,Derbyshire,3279
2007,Nottinghamshire,3655
2007,Lincolnshire,2462
2007,Leicestershire,2913
2007,Northamptonshire,1660
2007,Cambridgeshire,2888
2007,Norfolk,2411
2007,Suffolk,2076
2007,Bedfordshire,1740
2007,Hertfordshire,3587
2007,Essex,5004
2007,Thames Valley,6837
2007,Hampshire,5561
2007,Surrey,4272
2007,Kent,5391
2007,Sussex,5107
2007,City of London,341
2007,Devon and Cornwall,5687
2007,Avon and Somerset,5042
2007,Gloucestershire,1516
2007,Wiltshire,1716
2007,Dorset,2327
2007,North Wales,1922
2007,Gwent,1079
2007,South Wales,3572
2007,Dyfed-Powys,1767
2007,Police Scotland,12345
2008,Metropolitan Police,22819
2008,Cumbria,1573
2008,Lancashire,4961
2008,Merseyside,3509
2008,Greater Manchester,7146
2008,Cheshire,3316
2008,Northumbria,4120
2008,Durham,1513
2008,North Yorkshire,2367
2008,West Yorkshire,6501
2008,South Yorkshire,3942
2008,Humberside,2699
2008,Cleveland,1056
2008,West Midlands,7863
2008,Staffordshire,3356
2008,West Mercia,3081
2008,Warwickshire,1770
2008,Derbyshire,3133
2008,Nottinghamshire,3356
2008,Lincolnshire,2219
2008,Leicestershire,2873
2008,Northamptonshire,1668
2008,Cambridgeshire,2783
2008,Norfolk,2074
2008,Suffolk,2061
2008,Bedfordshire,1678
2008,Hertfordshire,3098
2008,Essex,4455
2008,Thames Valley,6365
2008,Hampshire,4859
2008,Surrey,4150
2008,Kent,5208
2008,Sussex,4640
2008,City of London,341
2008,Devon and Cornwall,4769
2008,Avon and Somerset,4134
2008,Gloucestershire,1411
2008,Wiltshire,1554
2008,Dorset,2238
2008,North Wales,1956
2008,Gwent,1060
2008,South Wales,3207
2008,Dyfed-Powys,1560
2008,Police Scotland,12149
2009,Metropolitan Police,22979
2009,Cumbria,1471
2009,Lancashire,4704
2009,Merseyside,3212
2009,Greater Manchester,6510
2009,Cheshire,3270
2009,Northumbria,3958
2009,Durham,1681
2009,North Yorkshire,2346
2009,West Yorkshire,6255
2009,South Yorkshire,3799
2009,Humberside,2558
2009,Cleveland,965
2009,West Midlands,7293
2009,Staffordshire,3235
2009,West Mercia,3212
2009,Warwickshire,1565
2009,Derbyshire,2998
2009,Nottinghamshire,3219
2009,Lincolnshire,2346
2009,Leicestershire,2689
2009,Northamptonshire,1474
2009,Cambridgeshire,2668
2009,Norfolk,1962
2009,Suffolk,1947
2009,Bedfordshire,1574
2009,Hertfordshire,2791
2009,Essex,4232
2009,Thames Valley,5911
2009,Hampshire,4683
2009,Surrey,4094
2009,Kent,5158
2009,Sussex,4509
2009,City of London,300
2009,Devon and Cornwall,4523
2009,Avon and Somerset,4113
2009,Gloucestershire,1254
2009,Wiltshire,1385
2009,Dorset,2048
2009,North Wales,1724
2009,Gwent,980
2009,South Wales,2880
2009,Dyfed-Powys,1542
2009,Police Scotland,11537
2010,Metropolitan Police,23810
2010,Cumbria,1284
2010,Lancashire,4439
2010,Merseyside,3161
2010,Greater Manchester,5444
2010,Cheshire,3018
2010,Northumbria,3599
2010,Durham,1417
2010,North Yorkshire,2105
2010,West Yorkshire,5761
2010,South Yorkshire,3459
2010,Humberside,2466
2010,Cleveland,996
2010,West Midlands,6216
2010,Staffordshire,3244
2010,West Mercia,2783
